station_line,station,linename,objectid
63 DR-REGO PARKMR,63 DR-REGO PARK,MR,191
23 ST-6 AVFM,23 ST-6 AV,FM,365
CHURCH AVFG,CHURCH AV,FG,110
149/GRAND CONC245,149/GRAND CONC,245,47
149/GRAND CONC245,149/GRAND CONC,245,289
149 ST-GR CONC245,149 ST-GR CONC,245,47
149 ST-GR CONC245,149 ST-GR CONC,245,289
125 ST23,125 ST,23,168
135 ST23,135 ST,23,169
103 ST-CORONA7,103 ST-CORONA,7,189
STERLING ST25,STERLING ST,25,134
BEVERLY ROAD25,BEVERLY ROAD,25,130
KINGS HIGHWAYBQ,KINGS HIGHWAY,BQ,330
59 STNR,59 ST,NR,387
BAY RIDGE AVR,BAY RIDGE AV,R,310
77 STR,77 ST,R,309
86 STR,86 ST,R,318
BAY RIDGE-95 STR,BAY RIDGE-95 ST,R,317
HOYT/SCHERMERACG,HOYT/SCHERMER,ACG,367
ELMHURST AVMR,ELMHURST AV,MR,37
67 AVMR,67 AV,MR,67
CARROLL STFG,CARROLL ST,FG,394
167 ST4,167 ST,4,291
E 177 ST-PARKCH6,E 177 ST-PARKCH,6,463
46 ST-BLISS ST7,46 ST-BLISS ST,7,239
CLARK ST23,CLARK ST,23,446
HOYT ST23,HOYT ST,23,405
GUN HILL ROAD5,GUN HILL ROAD,5,284
RECTOR STR,RECTOR ST,R,422
AVE JBQ,AVE J,BQ,343
AVE MBQ,AVE M,BQ,340
NECK ROADBQ,NECK ROAD,BQ,345
UNION STR,UNION ST,R,36
45 STR,45 ST,R,388
53 STR,53 ST,R,391
50 STD,50 ST,D,311
BEDFORD AVL,BEDFORD AV,L,151
DEKALB AVL,DEKALB AV,L,235
182-183 STBD,182-183 ST,BD,20
STEINWAY STMR,STEINWAY ST,MR,299
GREENPOINT AVG,GREENPOINT AV,G,138
GRAND STBD,GRAND ST,BD,432
15 ST-PROSPECTFG,15 ST-PROSPECT,FG,107
18 AVF,18 AV,F,308
170 ST4,170 ST,4,264
BURNSIDE AV4,BURNSIDE AV,4,175
ST LAWRENCE AV6,ST LAWRENCE AV,6,53
PROSPECT AVR,PROSPECT AV,R,381
55 STD,55 ST,D,62
1 AVL,1 AV,L,146
GRAHAM AVL,GRAHAM AV,L,150
GRAND STL,GRAND ST,L,149
96 STBC,96 ST,BC,57
HIGH STAC,HIGH ST,AC,453
174-175 STBD,174-175 ST,BD,21
GRAND AV-NEWTONMR,GRAND AV-NEWTON,MR,68
VAN WYCK BLVDEF,VAN WYCK BLVD,EF,244
NASSAU AVG,NASSAU AV,G,137
EAST BROADWAYF,EAST BROADWAY,F,369
4 AVDFGMNR,4 AV,DFGMNR,374
4 AVDFGMNR,4 AV,DFGMNR,382
9 STDFGMNR,9 ST,DFGMNR,374
9 STDFGMNR,9 ST,DFGMNR,382
ROOSEVELT ISF,ROOSEVELT IS,F,352
181 ST1,181 ST,1,178
40 ST-LOWERY ST7,40 ST-LOWERY ST,7,294
BEVERLEY ROADBQ,BEVERLEY ROAD,BQ,111
AVENUE HBQ,AVENUE H,BQ,344
OCEAN PARKWAYQ,OCEAN PARKWAY,Q,100
MONTROSE AVL,MONTROSE AV,L,152
HALSEY STL,HALSEY ST,L,211
46 STMR,46 ST,MR,237
METROPOLITAN AVGL,METROPOLITAN AV,GL,148
LORIMER STGL,LORIMER ST,GL,72
BEDFORD/NOSTRANG,BEDFORD/NOSTRAN,G,106
SMITH-9 STFG,SMITH-9 ST,FG,375
AVENUE XF,AVENUE X,F,334
28 ST1,28 ST,1,199
145 ST1,145 ST,1,156
191 ST1,191 ST,1,179
183 ST4,183 ST,4,407
VERNON/JACKSON7,VERNON/JACKSON,7,101
PRESIDENT ST25,PRESIDENT ST,25,455
25 STR,25 ST,R,393
JEFFERSON STL,JEFFERSON ST,L,305
190 STA,190 ST,A,397
72 STBC,72 ST,BC,56
SPRING STCE,SPRING ST,CE,395
LAFAYETTE AVC,LAFAYETTE AV,C,454
CLINTON-WASH AVC,CLINTON-WASH AV,C,448
FAR ROCKAWAYA,FAR ROCKAWAY,A,55
MYRTLE-WILLOUGHG,MYRTLE-WILLOUGH,G,363
CLASSON AVG,CLASSON AV,G,70
7 AV-PARK SLOPEFG,7 AV-PARK SLOPE,FG,108
FT HAMILTON PKYFG,FT HAMILTON PKY,FG,109
HOUSTON ST1,HOUSTON ST,1,97
33 ST/RAWSON ST7,33 ST/RAWSON ST,7,293
34 ST-PENN STA123ACE,34 ST-PENN STA,123ACE,358
34 ST-PENN STA123ACE,34 ST-PENN STA,123ACE,437
MORGAN AVL,MORGAN AV,L,306
